System	Family	ID	True [eV]	Prediction [eV]	Error [eV]	Abs. error [eV]
C1H3-Ag1      	3450	radicals	-15.08532397547674	-15.077463525663006	0.007860449813733794	0.007860449813733794
H1N1-Cd3      	4557	radicals	-28.79455182651725	-28.71563420389907	0.07891762261817803	0.07891762261817803
C2H5O2-Pd4    	3853	radicals	-23.402292324652365	-23.345811214740024	0.056481109912340344	0.056481109912340344
C1H3O1-Au3    	3056	radicals	-36.01236688237577	-35.732077880784686	0.28028900159108616	0.28028900159108616
C1O1-Ir4      	4100	radicals	-49.66818610817677	-49.63931082544741	0.028875282729359242	0.028875282729359242
C1H1O1-Ir3    	3959	radicals	-10.714909146680839	-10.696632772700923	0.01827637397991566	0.01827637397991566
C2H4O1-Ru6    	3619	radicals	-43.371547782250445	-42.831372560101954	0.5401752221484912	0.5401752221484912
C2H1O2-Au2    	3037	radicals	-15.12136878347269	-14.938594790227057	0.18277399324563248	0.18277399324563248
C2H2O2-Ag4    	3397	radicals	-8.347358383789242	-8.403643495128563	-0.05628511133932079	0.05628511133932079
C2H2O1-Zn5    	3823	radicals	-28.2247829888411	-28.405667784573552	-0.18088479573245309	0.18088479573245309
C1H3-Ni3      	4461	radicals	-33.38703540472426	-33.576601517533504	-0.18956611280924562	0.18956611280924562
C2H4O2-Ni5    	4389	radicals	-40.00993327078959	-39.98562708155521	0.024306189234380327	0.024306189234380327
C2H1O2-Co7    	4317	radicals	-36.50795380943396	-36.292151098909585	0.21580271052437183	0.21580271052437183
C2H3O1-Au1    	3081	radicals	-43.75941515553973	-43.5611276977761	0.19828745776362666	0.19828745776362666
C1H3O1-Ni3    	4412	radicals	-14.549782522408691	-14.609736001406418	-0.05995347899772696	0.05995347899772696
C2H4-Ru3      	3665	radicals	-26.74226379474314	-26.78157315467553	-0.039309359932392596	0.039309359932392596
N1-Ru6        	4023	radicals	-22.59074228953358	-22.68255322673184	-0.09181093719826094	0.09181093719826094
O2-Ru4        	3565	radicals	-14.197200413349492	-15.178520705402548	-0.9813202920530557	0.9813202920530557
C2H1O2-Ir4    	3952	radicals	-44.041892873590086	-43.92347029915368	0.11842257443640847	0.11842257443640847
C2H2O2-Au3    	3035	radicals	-30.683586073279685	-30.621457680539095	0.06212839274058979	0.06212839274058979
C2H2-Ir5      	3929	radicals	-46.074458807755036	-46.02580541550037	0.04865339225466414	0.04865339225466414
C1H1-Fe7      	4497	radicals	-12.541251455509837	-12.63310656140061	-0.09185510589077239	0.09185510589077239
H2O1-Co4      	4278	radicals	-32.29911436765815	-32.15608115549969	0.143033212158457	0.143033212158457
C2H3-Ag1      	3389	radicals	-32.612331523879845	-32.600935606848566	0.011395917031279623	0.011395917031279623
H1N1-Au3      	4547	radicals	-23.151580966874235	-23.23780022647321	-0.0862192595989768	0.0862192595989768
C1H1O2-Co7    	4299	radicals	-36.42398833624304	-36.54524007318014	-0.12125173693709712	0.12125173693709712
C1H1-Fe6      	4500	radicals	-23.434656145363476	-23.42434315002538	0.010312995338097153	0.010312995338097153
C1H1O2-Fe8    	4150	radicals	-38.437072722103835	-38.35819138091165	0.07888134119218648	0.07888134119218648
C1H2O2-Os5    	3107	radicals	-27.90737148287495	-27.963867874366173	-0.05649639149122265	0.05649639149122265
H3N1-Au1      	4546	radicals	-16.722890869965113	-16.502766726114487	0.22012414385062584	0.22012414385062584
C1H1O1-Rh4    	3517	radicals	-32.91220855187311	-32.9152668394662	-0.0030582875930917908	0.0030582875930917908
C1H3-Os4      	4108	radicals	-39.61875876664851	-39.488867317965514	0.12989144868299718	0.12989144868299718
C1-Au1        	3095	radicals	-32.830867960980015	-32.859063755698685	-0.02819579471866973	0.02819579471866973
H2S1-Cu2      	4553	radicals	-24.21729658814354	-24.095873105977972	0.12142348216556798	0.12142348216556798
C1H1O2-Rh4    	3470	radicals	-43.717674163663105	-43.751871773840094	-0.034197610176988746	0.034197610176988746
C2H3O1-Ir4    	3985	radicals	-27.173818577076055	-27.014420272797118	0.15939830427893753	0.15939830427893753
C2H2O2-Pt5    	3695	radicals	-34.54593237574966	-34.57700031857155	-0.031067942821891847	0.031067942821891847
C1O1-Ag1      	3460	radicals	-32.606884183257876	-32.48934577139835	0.11753841185952751	0.11753841185952751
C1H1O1-Au4    	3055	radicals	-46.65134452319376	-46.741117390723275	-0.08977286752951841	0.08977286752951841
C2H6O2-Ni3    	4405	radicals	-8.174068828533791	-8.210096284543397	-0.036027456009605885	0.036027456009605885
C2H3-Os4      	3112	radicals	-42.546306241179764	-42.56074151636449	-0.01443527518472365	0.01443527518472365
C1H1O2-Pt2    	3680	radicals	-32.67132196763549	-32.45881416269981	0.212507804935683	0.212507804935683
O1-Zn4        	4138	radicals	-26.307359709330257	-26.44060709132664	-0.13324738199638375	0.13324738199638375
C2H4-Fe5      	4193	radicals	-3.175224997591613	-3.176321327637879	-0.0010963300462663028	0.0010963300462663028
C2H5O2-Ag4    	3412	radicals	-13.121484526859604	-13.105653205500857	0.01583132135874621	0.01583132135874621
C2H2O1-Ir4    	3974	radicals	-39.99325958936652	-39.97604089782692	0.017218691539596875	0.017218691539596875
C1H4O1-Zn1    	3801	radicals	-5.645135127925187	-5.666235143319227	-0.021100015394040383	0.021100015394040383
C2H4O1-Pd5    	3901	radicals	-5.602029638940621	-5.570778711535468	0.03125092740515356	0.03125092740515356
C1O1-Os3      	3185	radicals	-39.55674355618248	-39.55793689960694	-0.0011933434244610908	0.0011933434244610908
C2H5O2-Zn2    	3779	radicals	-38.9520717895208	-38.97000191250049	-0.017930122979691987	0.017930122979691987
C2H1O2-Fe7    	4195	radicals	-16.805690605164386	-16.764870057290636	0.04082054787375	0.04082054787375
C1H2O1-Co7    	4331	radicals	-29.978490868743336	-29.841408007629155	0.13708286111418033	0.13708286111418033
C2H2O1-Ni4    	4445	radicals	-5.811450762123741	-6.337517241921432	-0.5260664797976915	0.5260664797976915
C1H1O1-Ag3    	3420	radicals	-39.2651599889349	-39.21583933393265	0.049320655002247804	0.049320655002247804
C2H1-Fe4      	4179	radicals	-7.452686812997172	-7.410332191785301	0.042354621211870835	0.042354621211870835
C2H3O2-Pd4    	3873	radicals	-4.958985531932967	-4.974695389387307	-0.015709857454339726	0.015709857454339726
C1H1O1-Ru5    	3594	radicals	-47.32718703929777	-47.14244990541533	0.18473713388243596	0.18473713388243596
C2H2O2-Ag4    	3413	radicals	-40.72721075282925	-40.74206720804614	-0.014856455216886388	0.014856455216886388
H1-Rh3        	3562	radicals	-53.828578804080735	-53.568314783457026	0.26026402062370835	0.26026402062370835
C2H4O1-Cd4    	3253	radicals	-26.754377366760753	-26.7058201005668	0.04855726619395284	0.04855726619395284
S1-Pt7        	4036	radicals	-23.251863617041522	-23.253532562637133	-0.0016689455956111487	0.0016689455956111487
C1H2-Rh4      	3552	radicals	-33.388996179181106	-33.308077951410155	0.08091822777095103	0.08091822777095103
C2H1O1-Zn2    	3824	radicals	-46.75404304309609	-46.65264276726293	0.10140027583315714	0.10140027583315714
C1H1O2-Au2    	3012	radicals	-39.331558153406036	-39.42144459757344	-0.08988644416740499	0.08988644416740499
C2H3-Ag4      	3383	radicals	-28.260364518519836	-28.347885867230417	-0.08752134871058104	0.08752134871058104
C2H3O2-Pt5    	3697	radicals	-18.34506260893329	-18.350894453798105	-0.005831844864815139	0.005831844864815139
C2-Ru5        	3571	radicals	-39.647842273213996	-39.74136632470038	-0.09352405148638354	0.09352405148638354
C2H1-Rh3      	3473	radicals	-37.56923284328582	-37.76148654216172	-0.19225369887590205	0.19225369887590205
C2H3O2-Zn4    	3780	radicals	-11.650514053257893	-11.64717142970676	0.0033426235511342384	0.0033426235511342384
C2H6-Fe3      	4166	radicals	-25.89471626290367	-25.95190505780451	-0.0571887949008385	0.0571887949008385
C2H4-Co6      	4305	radicals	-27.06056403543598	-27.07822372376487	-0.017659688328890866	0.017659688328890866
C2H1O1-Os4    	3161	radicals	-25.877944976557416	-25.96039077067161	-0.08244579411419295	0.08244579411419295
C2H2O1-Co8    	4360	radicals	-26.63627434985694	-26.60746601030217	0.028808339554771578	0.028808339554771578
H2N1-Cd2      	4596	radicals	-39.98448185045652	-40.02456493891066	-0.040083088454139215	0.040083088454139215
C1H3O1-Os3    	3153	radicals	-20.264688407619815	-20.210517083707828	0.0541713239119872	0.0541713239119872
H2N1-Ir3      	4597	radicals	-46.654411092416694	-46.55108632355268	0.1033247688640131	0.1033247688640131
C1O1-Pt4      	4123	radicals	-9.220672814298723	-9.309202648624705	-0.08852983432598194	0.08852983432598194
S1-Cu7        	4031	radicals	-42.93828603523252	-42.888810789806485	0.04947524542603787	0.04947524542603787
O1-Co6        	4283	radicals	-20.909061519036072	-21.26658105693673	-0.35751953790065727	0.35751953790065727
C2H4O2-Ag6    	3410	radicals	-43.25313151762725	-43.135041785837984	0.11808973178926863	0.11808973178926863
C2H2O1-Ni4    	4424	radicals	-17.023740397920278	-16.974460756703934	0.049279641216344316	0.049279641216344316
C2H3O2-Rh3    	3485	radicals	-31.113285142010568	-31.118428428508196	-0.0051432864976277415	0.0051432864976277415
C2H2O2-Pt4    	3707	radicals	-26.71270943069027	-27.069673162778354	-0.35696373208808296	0.35696373208808296
C1O1-Ag3      	3459	radicals	-19.683622440925546	-19.686166084378215	-0.0025436434526682206	0.0025436434526682206
C2H2O2-Rh4    	3494	radicals	-27.968605065228857	-27.89514740285908	0.07345766236977624	0.07345766236977624
C2H6O1-Ni2    	4438	radicals	-24.13868341401303	-24.168065453616293	-0.02938203960326291	0.02938203960326291
C2H6O2-Rh4    	3502	radicals	-39.77153748531896	-39.73584997049636	0.03568751482259813	0.03568751482259813
H1N1-Co7      	4609	radicals	-41.51194013814711	-42.10719529731068	-0.5952551591635711	0.5952551591635711
C1H3-Co6      	4277	radicals	-41.30900234804335	-41.14476895220605	0.16423339583730012	0.16423339583730012
C1H2-Cd3      	3283	radicals	-36.893821760660444	-36.971680123385	-0.07785836272455526	0.07785836272455526
C2H2O1-Rh4    	3528	radicals	-14.43534222883818	-14.297806441444095	0.13753578739408567	0.13753578739408567
C2H5-Fe6      	4172	radicals	-5.639841194637029	-5.6168955588773315	0.022945635759697325	0.022945635759697325
C2H6O1-Co7    	4352	radicals	-23.047647301034885	-23.09883329456909	-0.0511859935342045	0.0511859935342045
